Company Name,RIC,Weight in Index @20241231,Portfolio Weight ,Asset allocation,Close price@20250709,#Shares
LVMH,LVMH.PA,9.52%,3.25%,325468.2517,,
Schneider Electric,SCHN.PA,8.31%,2.26%,226158.0049,,
TotalEnergies,TTEF.PA,7.28%,1.88%,187993.2071,,
Sanofi,SASY.PA,6.41%,1.17%,116627.4809,,
Airbus,AIR.PA,5.51%,4.66%,466152.6439,,
Air Liquide,AIRP.PA,5.44%,3.10%,310372.0857,,
L'Oreal,OREP.PA,4.93%,3.16%,315563.0522,,
Safran,SAF.PA,4.61%,6.32%,632381.0994,,
EssilorLuxottica,ESLX.PA,4.52%,3.27%,327005.9141,,
Hermes,HRMS.PA,4.41%,7.00%,699900.1058,,
AXA,AXAF.PA,3.85%,2.23%,223348.6988,,
BNP Paribas SA,BNPP.PA,3.81%,0.62%,62034.19603,,
Vinci,SGEF.PA,3.17%,2.24%,223734.5917,,
Danone,DANO.PA,2.52%,2.27%,226974.902,,
Saint Gobain,SGOB.PA,2.33%,1.85%,184803.4238,,
Engie,ENGIE.PA,1.68%,1.46%,146026.1907,,
Stellantis,STLAM.MI,1.60%,2.75%,275114.6843,,
Legrand,LEGD.PA,1.48%,3.42%,341833.0553,,
Capgemini,CAPP.PA,1.47%,3.22%,321535.0965,,
Publicis Groupe,PUBP.PA,1.41%,2.33%,233374.719,,
Michelin,MICP.PA,1.36%,0.97%,96540.08841,,
Dassault Systemes,DAST.PA,1.34%,5.01%,501100.9491,,
Pernod Ricard,PERP.PA,1.32%,1.43%,142940.6454,,
Societe Generale,SOGN.PA,1.19%,1.15%,115493.2107,,
Veolia Environnement,VIE.PA,1.12%,3.43%,342825.9741,,
Orange,ORAN.PA,1.07%,1.70%,169679.6373,,
Kering,PRTP.PA,1.06%,0.60%,59772.01079,,
STMicroelectronics,STMPA.PA,0.93%,2.20%,220172.2867,,
Thales,TCFP.PA,0.87%,5.80%,580130.2204,,
Credit Agricole,CAGR.PA,0.72%,2.55%,254834.8411,,
Bureau Veritas,BVI.PA,0.60%,1.64%,163666.4579,,
Accor,ACCP.PA,0.58%,2.07%,207212.965,,
Renault,RENA.PA,0.58%,1.04%,104109.0295,,
ArcelorMittal,MT.AS,0.57%,0.67%,67463.63393,,
Unibail-Rodamco-Westfield SE,URW.PA,0.52%,1.77%,176699.3358,,
Edenred,EDEN.PA,0.47%,0.42%,41739.91135,,
Carrefour,CARR.PA,0.45%,0.00%,3.18392E-10,,
Eurofins Scientific,EUFI.PA,0.37%,3.97%,397480.5827,,
Bouygues,BOUY.PA,0.32%,1.65%,164751.1768,,
Teleperformance,TEPRF.PA,0.29%,3.47%,346985.6396,,
CAC40,.FCHI,-,-100%,-10000000,,
