Company,RIC,LMA,Weight,Sector (ICB)
Adidas,ADSGn.DE,4295868725,ADSGn.DE,
Airbus,AIRG.DE,4295884955,AIRG.DE,
Allianz,ALVG.DE,4295870171,ALVG.DE,
BASF,BASFn.DE,4295869198,BASFn.DE,
Bayer,BAYGn.DE,4295869217,BAYGn.DE,
Beiersdorf,BEIG.DE,4295869070,BEIG.DE,
BMW,BMWG.DE,4295869227,BMWG.DE,
Brenntag,BNRGn.DE,5059963032,BNRGn.DE,
Commerzbank,CBKG.DE,8589934314,CBKG.DE,
Continental,CONG.DE,4295869236,CONG.DE,
Deutsche Bank,DBKGn.DE,4295869482,DBKGn.DE,
Deutsche Boerse,DB1Gn.DE,4298007872,DB1Gn.DE,
Deutsche Post,DHLn.DE,4295869983,DHLn.DE,
Deutsche Telekom,DTEGn.DE,4295870332,DTEGn.DE,
E.ON,EONGn.DE,5057957727,EONGn.DE,
Fresenius SE & Co KGaA,FREG.DE,5001439044,FREG.DE,
Fresenius Medical Care,FMEG.DE,4295869203,FMEG.DE,
Hannover Rueck,HNRGn.DE,4295869315,HNRGn.DE,
Heidelberg Materials,HEIG.DE,4295868961,HEIG.DE,
Henkel AG & Co KGaA,HNKG_p.DE,4295869260,HNKG_p.DE,
Infineon Technologies,IFXGn.DE,4295870063,IFXGn.DE,
Mercedes-Benz Group,MBGn.DE,4295869694,MBGn.DE,
Merck,MRCG.DE,4295869098,MRCG.DE,
MTU Aero Engines,MTXGn.DE,4295868681,MTXGn.DE,
Munich RE,MUVGn.DE,4295868986,MUVGn.DE,
Porsche Automobil Holding,PSHG_p.DE,4295869130,PSHG_p.DE,
Qiagen NV,QGEN.K,4295884717,QGEN.K,
Rheinmetall,RHMG.DE,4295869123,RHMG.DE,
RWE,RWEG.DE,4295869049,RWEG.DE,
SAP,SAPG.DE,5043321284,SAPG.DE,
Sartorius,SATG.DE,4295868872,SATG.DE,
Siemens,SIEGn.DE,4295869238,SIEGn.DE,
Siemens Healthineers,SHLG.DE,5060559444,SHLG.DE,
Symrise,SY1G.DE,4295868896,SY1G.DE,
Volkswagen,VOWG.DE,4295869244,VOWG.DE,
Vonovia,VNAn.DE,5063761614,VNAn.DE,
Zalando,ZALG.DE,5043464296,ZALG.DE,
,.GDAXI,,,
