Company,RIC,LMA,Weight,Sector (ICB)
Roche Holding,/ROG.S,4295890594,,
Nestle SA,/NESN.S,4295890634,,
Novartis,/NOVN.S,4295890628,,
Abb Ltd,/ABBN.S,4295890743,,
UBS Group,/UBSG.S,5043337560,,
Zurich Insurance,/ZURN.S,4295890717,,
Compagnie Financiere Richemont,/CFR.S,4295890532,,
Swiss Re,/SRENH.S,5001738799,,
Lonza,/LONN.S,5000030891,,
Holcim,/HOLN.S,4295890620,,
Alcon,/ALCC.S,5068075938,,
Givaudan,/GIVN.S,4295890924,,
Sika,/SIKA.S,4295890591,,
Swisscom,/SCMN.S,4295890615,,
Partners Group Holding,/PGHN.S,5000073739,,
Swiss Life,/SLHN.S,4295890944,,
Geberit,/GEBN.S,4295890739,,
Kuehne und Nagel International,/KNIN.S,4295890664,,
Sonova,/SOON.S,4295890673,,
Logitech,/LOGN.S,4295890536,,
,/.SSMI,,,
